188.166.19.150 - - [25/Oct/2023:00:15:16 +0800] "CONNECT karantinaindonesia.go.id:443 HTTP/1.1" 501 651
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/index.html HTTP/1.1" 200 3988
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/style/main.css HTTP/1.1" 200 20647
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/bind_polyfill.js HTTP/1.1" 200 220
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/animframe_polyfill.js HTTP/1.1" 200 890
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/classlist_polyfill.js HTTP/1.1" 200 1794
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/keyboard_input_manager.js HTTP/1.1" 200 4005
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/html_actuator.js HTTP/1.1" 200 4040
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/tile.js HTTP/1.1" 200 594
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/grid.js HTTP/1.1" 200 2526
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/local_storage_manager.js HTTP/1.1" 200 1588
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/style/fonts/clear-sans.css HTTP/1.1" 200 1078
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/game_manager.js HTTP/1.1" 200 7627
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/js/application.js HTTP/1.1" 200 197
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/style/fonts/ClearSans-Bold-webfont.woff HTTP/1.1" 200 27120
218.17.207.82 - - [25/Oct/2023:00:15:21 +0800] "GET //game/2048/style/fonts/ClearSans-Regular-webfont.woff HTTP/1.1" 200 26764
218.17.207.82 - - [25/Oct/2023:00:15:22 +0800] "GET //game/2048/favicon.ico HTTP/1.1" 200 4286
218.17.207.82 - - [25/Oct/2023:00:15:31 +0800] "GET //2048/index.html HTTP/1.1" 404 725
218.17.207.82 - - [25/Oct/2023:00:15:31 +0800] "GET /favicon.ico HTTP/1.1" 404 712
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/2048.html HTTP/1.1" 200 3988
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/style/main.css HTTP/1.1" 200 20647
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/animframe_polyfill.js HTTP/1.1" 200 890
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/html_actuator.js HTTP/1.1" 200 4040
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/bind_polyfill.js HTTP/1.1" 200 220
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/classlist_polyfill.js HTTP/1.1" 200 1794
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/keyboard_input_manager.js HTTP/1.1" 200 4005
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/grid.js HTTP/1.1" 200 2526
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/tile.js HTTP/1.1" 200 594
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/game_manager.js HTTP/1.1" 200 7627
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/application.js HTTP/1.1" 200 197
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/js/local_storage_manager.js HTTP/1.1" 200 1588
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/style/fonts/clear-sans.css HTTP/1.1" 200 1078
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/style/fonts/ClearSans-Bold-webfont.woff HTTP/1.1" 200 27120
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/style/fonts/ClearSans-Regular-webfont.woff HTTP/1.1" 200 26764
218.17.207.82 - - [25/Oct/2023:00:15:38 +0800] "GET //2048/favicon.ico HTTP/1.1" 200 4286
218.17.207.82 - - [25/Oct/2023:00:15:42 +0800] "GET //2048 HTTP/1.1" 302 -
